SMILES,3CL_enzymatic_activity,ACE2_enzymatic_activity,HEK293_cell_line_toxicity_,Human_fibroblast_toxicity,MERS_Pseudotyped_particle_entry,MERS_Pseudotyped_particle_entry_(Huh7_tox_counterscreen),SARS-CoV_Pseudotyped_particle_entry,SARS-CoV_Pseudotyped_particle_entry_(VeroE6_tox_counterscreen),SARS-CoV-2_cytopathic_effect_(CPE),SARS-CoV-2_cytopathic_effect_(host_tox_counterscreen),Spike-ACE2_protein-protein_interaction_(AlphaLISA),Spike-ACE2_protein-protein_interaction_(TruHit_Counterscreen),TMPRSS2_enzymatic_activity
CCCCCCCCCCCCCCCCOC/1=N/C2=C(C=C(C)C=C2)C(=O)O1,0,0,,,0,0,0,0,0,0,0,0,0
CC(C)C(=O)OC(C)OC(=O)NCC1(CCCCC1)CC(O)=O,0,0,,,0,0,1,0,0,0,0,0,0
Cl.CCOc1ccc(cc1OCC)Cc3nccc2cc(OCC)c(cc23)OCC,1,1,2,0,2,1,2,1,0,0,1,1,0
Cl.Clc2ccccc2CNC(C)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oc3cc4CC[C@@H]2[C@H](CC[C@@]1(C)[C@H]2CC[C@@]1(O)C#C)c4cc3,0,0,2,0,1,1,0,0,0,2,1,1,0
OCCOCCN1CCN(CC1)C3=Nc4ccccc4Sc2ccccc23,0,0,1,0,0,0,0,0,0,0,0,0,0
CC1=NC=C(C[N+]2=CSC(=C2C)CCO[P](O)(=O)O[P](O)(O)=O)C(=N1)N,0,0,,,0,0,0,0,0,0,0,0,0
CS(=O)(=O)O.Oc1cccc(c1C)C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C,0,0,1,0,0,0,0,0,2,1,1,2,0
[Cl-].C[N+](C)(CC)c1cccc(O)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
BrC1=C(NC(N)=NC1=O)c2ccccc2,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(O)C(C)(C)CCCOc1cc(C)ccc1C,0,0,0,0,0,0,0,0,0,0,0,0,0
OC(=O)c1cc(O)nc(O)n1,0,0,0,1,0,0,0,0,0,0,0,0,0
O=C(c1ccc(cc1O)OC)c2ccccc2,0,0,0,0,0,0,0,0,0,0,0,1,0
C/C=C/C=C/C(O)=O,0,0,,,0,0,0,0,0,0,0,0,0
O=C(O)C=3N4C(=O)[C@@H](NC(=O)Cn1cnnn1)[C@H]4SCC=3CSc2nnc(C)s2,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(Oc1ccc(cc1)CC(=O)OCC(=O)N(C)C)c2ccc(NC(=N)N)cc2.CS(=O)(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,3
Clc2cccc(F)c2Nc1ccc(C)cc1CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
Cl.O.Nc1c3ccccc3nc2ccccc12,0,0,2,1,1,1,1,1,0,2,0,0,1
Cl.CN(C)c2ccc(O)c1C(=O)C3=C(O)[C@]4(O)C(=O)C(=C(O)[C@@H](N(C)C)[C@@H]4C[C@@H]3Cc12)C(N)=O,0,0,1,0,0,0,1,0,0,0,2,2,0
OCC(O)CNC(=O)c1c(I)c(N(CC(O)CO)C(C)=O)c(I)c(c1I)C(=O)NCCO,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C3=CC=CC=C3[S+]1([O-])=O,1,0,,,0,0,0,2,0,0,0,0,0
CC1=CC(=CC=C1Cl)NC2=CC=CC=C2C(O)=O,0,2,,,0,0,0,0,0,0,1,2,0
COC1=C(OC)C=C2CC(=O)N(CCCN(C)C[C@H]3CC4=CC(=C(OC)C=C34)OC)CCC2=C1,0,0,,,0,0,1,0,0,0,0,0,0
O=C(OCC4(COC(=O)c1cccnc1)CCCC(COC(=O)c2cccnc2)(COC(=O)c3cccnc3)C4O)c5cccnc5,0,0,0,0,0,0,1,0,0,0,2,2,0
OCC(=O)[C@@]3(O)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4C(=O)C[C@@]23C,0,0,1,0,0,0,0,0,0,0,0,0,0
Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)O)c3C)OC,0,1,0,0,2,0,2,0,0,0,1,0,0
CC(C)(C)NCC(O)COc2cccc1C[C@@H](O)[C@@H](O)Cc12,0,0,0,0,0,0,0,0,0,0,0,0,0
OC(=O)[C@@H]2N3C(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](N)CC(=O)NC)c1ccc(O)cc1)[C@H]3SC2(C)C,0,0,,,0,0,0,0,0,0,0,0,0
OC[C@H]1O[C@@H](OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(=CC(=C2)O)O)[C@H](O)[C@@H](O)[C@@H]1O,0,0,,,0,0,0,0,0,0,0,1,0
COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C2=NC=C([NH]2)C3=CC=C4C(=C3)O[C@H]([N]5C6=C(C=C(C=C6)C7=CN=C([NH]7)[C@@H]8CCCN8C(=O)[C@@H](NC(=O)OC)C(C)C)C=C45)C9=CC=CC=C9,0,2,,,1,0,0,0,0,0,2,3,0
CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(NC(=O)C(NC(=O)C6CC(O)CN6C(=O)C(NC4=O)C(C)O)C(O)C(O)C7=CC=C(O)C=C7)C(C)O,0,1,,,1,0,1,0,2,0,2,2,1
CNC(=O)OCc1cccc(COC(=O)NC)n1,0,0,,,0,0,0,0,0,0,0,0,0
CCCCCCCCCCCCCCCC(=O)OC1C(O)C(O)C(OC1SC)C(NC(=O)C2CC(CCC)CN2C)C(C)Cl,2,0,,,0,0,0,0,0,0,2,2,0
Clc3ccc(C(OCc1c(Cl)cccc1Cl)Cn2ccnc2)c(Cl)c3,0,0,2,0,1,0,1,0,0,1,1,2,0
CO[C@H]1\C=C/O[C@@]2(C)OC3=C(C)C(=C4C(=C(NC(=O)\C(=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C)C5=C(N=C6C=C(C)C=C[N]56)C4=C3C2=O)O)O,0,0,,,0,0,0,0,0,0,1,1,0
O=S(=O)(O)O.N[C@@H]3[C@@H](O)[C@H](O)[C@@H](CN)O[C@@H]3O[C@@H]2[C@@H](N)C[C@@H](N)C(O)[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0,0,0,0,0,0,0,0,0,0,0,0,0
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@@H]2C3=CC=CC(=C3C(=O)C4=C2C=C(CO)C=C4O)O,0,,,,0,0,1,0,,,,,
CN(C)CC\C=C1/C2=C(CSC3=C1C=CC=C3)C=CC=C2,0,0,,,1,0,1,0,1,0,0,1,0
C[N+]1(CCCCC[N+]2(C)CCCC2)CCCC1,0,0,,,0,0,1,0,0,0,0,0,0
Cl.O.O=C(O)[C@@H](NS(=O)(=O)CCCC)Cc1ccc(cc1)OCCCCC2CCNCC2,0,0,0,0,0,0,1,0,0,0,0,0,0
[Na+].Clc2cccc(Cl)c2Nc1ccccc1CC([O-])=O,0,0,1,0,0,0,0,0,0,0,2,0,0
CC(=O)CCCCN2C(=O)c1n(cnc1N(C)C2=O)CCC,0,0,0,0,0,0,0,0,0,0,0,0,0
[Br-].C[N+]1(CCCCC1)[C@H]6C[C@@H]5[C@](C)(CC[C@H]2[C@H]5CC[C@H]3C[C@H](OC(C)=O)[C@H](C[C@]23C)N4CCCCC4)[C@H]6OC(C)=O,0,0,0,0,0,0,0,0,0,0,0,0,0
Oc3ccc4C[C@H]1N(CC[C@@]2(CCCC[C@@H]12)c4c3)CC=C,0,1,0,0,1,0,0,0,0,0,0,0,0
Cn2cncc2C[C@H]1COC(=O)[C@H]1CC,0,0,0,0,0,0,2,0,0,0,0,0,0
[H]C1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4([H])[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCCCC,0,0,,,0,0,1,0,0,0,0,2,0
Cl.CC(CN1CCCCC1)C(=O)c2ccc(CC)cc2,0,0,0,0,0,0,2,0,0,0,0,0,0
CCC1\C(=N/N=C(C2=CC(=C(OC)C=C2)OC)\C3=C1C=C(OC)C(=C3)OC)C,0,0,,,0,0,0,0,0,0,0,0,0
CC(=O)OCC(=O)[C@@]54N=C(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,0,0,0,0,0,0,0,0,0,0,0,0,0
C[C@@H](O[C@H]2OCCN(CC1=NC(=O)N=N1)[C@H]2C3CCC(F)CC3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,1,,1,0,1,0,1,0,,,,,
COC1=CC=C(\C=C\C(=O)OCCC(C)C)C=C1,0,0,,,0,0,0,0,0,0,1,2,0
NC1=CC=NC=C1,0,0,,,0,0,0,0,0,0,0,0,0
Cl.O=C1N(C[C@H]3CCCc2cccc1c23)[C@@H]5CN4CCC5CC4,0,0,1,0,1,0,0,0,0,0,0,0,0
OS(=O)(=O)c1cc(c(O)cc1OC)C(=O)c2ccccc2,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc2ccc(OC(C)(C)C(=O)OCCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1)cc2,0,0,0,0,0,0,0,0,0,0,0,2,0
Cl.COc3ccccc3N2CCN(CCCNC1=CC(=O)N(C)C(=O)N1C)CC2,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)C)c3C)OC,0,0,0,0,0,0,3,0,0,0,0,0,0
Oc1cc(\C=C(/C#N)C(=O)N(CC)CC)cc([N+]([O-])=O)c1O,1,0,0,0,0,0,0,0,0,0,1,1,0
CO.COc4cc(Nc3c(C#N)cnc2cc(OCCCN1CCN(C)CC1)c(OC)cc23)c(Cl)cc4Cl,0,0,2,1,1,1,1,1,0,2,2,2,0
CN1\C=C(\OCC(O)CNC(C)(C)C)C2=C(C=CC=C2)C1=O,0,0,,,0,0,0,0,0,0,0,0,0
CN1C(=O)\C=C(\N2CCC[C@@H](N)C2)N(CC3=C(C=CC(=C3)F)C#N)C1=O,0,0,,,0,0,0,0,0,0,0,0,0
C1CNCCNCCCN(CCNC1)CC2=CC=C(CN3CCCNCCNCCCNCC3)C=C2,0,0,,,0,0,0,0,0,0,2,0,0
O.Oc1c(C=O)c(cnc1C)COP(=O)(O)O,0,0,0,0,0,0,1,0,0,0,0,0,0
CC(C)C(=O)OCc4cc(OC(=O)[C@@H]2N3C(=O)[C@@H](NC(=O)Cc1ccccc1)[C@H]3SC2(C)C)ccc4,0,0,0,0,0,0,0,0,0,0,1,0,0
CO\N=C/1C[C@]2(C[C@@H]3C[C@@H](C\C=C(C)\C[C@@H](C)\C=C\C=C\4CO[C@@H]5[C@H](O)\C(=C/[C@@H](C(=O)O3)[C@]45O)C)O2)O[C@@H]([C@H]1C)\C(C)=C\C(C)C,0,0,,,0,0,1,0,0,2,1,2,0
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0,0,,,0,0,1,0,0,0,0,0,0
OCCOCCCCCCCCCCCC,0,0,0,0,0,0,0,0,0,0,0,0,0
COC(=O)C\1=C(\N\C(=C(/C1C2=CC(=CC=C2)[N+]([O-])=O)C(=O)OC(C)C)C)C#N,0,0,,,1,0,1,0,0,0,1,1,0
Cl.O=C4N(CC)CC(CCN1CCOCC1)C4(c2ccccc2)c3ccccc3,0,0,0,0,0,0,1,0,0,0,0,0,0
O=C(OC)Nc1nc2cc(ccc2n1)S(=O)c3ccccc3,0,0,3,2,0,0,0,1,0,0,1,0,0
Oc3c1C(=O)OCc1c(C)c(OC)c3C\C=C(/C)CCC(=O)OCCN2CCOCC2,0,0,2,0,2,2,3,1,0,2,0,0,0
Clc1ccc(cc1)C(CN)CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0
OCC(=O)[C@]45OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,0,0,0,0,0,0,0,0,0,0,0,0,0
O=C(C)Oc1cccc(O)c1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nc1nc(C)ncc1CN(C=O)C(\C)=C(/CCO)SSCCC(CCCCC(=O)OC)SC(C)=O,0,0,0,0,0,0,3,0,0,0,0,0,0
CCCCC(=O)OCC(=O)[C@H]4[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,0,0,1,0,0,0,0,0,0,0,1,2,0
ClC1=CNC(=O)C=C1O,0,0,0,0,0,0,0,0,0,0,0,0,0
